[2018-05-31 00:11:19] "Practica1";Group1;1359;"Maloii";1527714679645;00:11:19;6;01:46:003;
[2018-05-31 00:11:51] "Practica1";Group1;1359;"Maloii";1527714711242;00:11:51;7;00:31:597;
[2018-05-31 00:12:31] "Practica1";Group1;1359;"Maloii";1527714751070;00:12:31;8;00:39:828;
[2018-05-31 00:14:00] "Practica1";Group1;1359;"Maloii";1527714840930;00:14:00;9;01:29:860;
[2018-05-31 00:14:20] "Practica1";Group1;1375;"Юджин";1527714860279;00:14:20;3;04:27:502;
[2018-05-31 00:14:21] "Practica1";Group1;1359;"Maloii";1527714861855;00:14:21;10;00:20:925;
[2018-05-31 00:14:48] "Practica1";Group1;1375;"Юджин";1527714888116;00:14:48;4;00:27:837;
[2018-05-31 00:14:56] "Practica1";Group1;1359;"Maloii";1527714896936;00:14:56;11;00:35:081;
[2018-05-31 00:15:15] "Practica1";Group1;1375;"Юджин";1527714915279;00:15:15;5;00:27:163;
[2018-05-31 00:15:46] "Practica1";Group1;1375;"Юджин";1527714946799;00:15:46;6;00:31:520;
[2018-05-31 00:17:10] "Practica1";Group1;1375;"Юджин";1527715030703;00:17:10;7;01:23:904;
[2018-05-31 00:17:12] "Practica1";Group1;1359;"Maloii";1527715032448;00:17:12;12;02:15:512;
[2018-05-31 00:17:48] "Practica1";Group1;1375;"Юджин";1527715068128;00:17:48;8;00:37:425;
[2018-05-31 00:18:36] "Practica1";Group1;1375;"Юджин";1527715116527;00:18:36;9;00:48:399;
[2018-05-31 00:19:02] "Practica1";Group1;1375;"Юджин";1527715142336;00:19:02;10;00:25:809;
[2018-05-31 00:19:14] "Practica1";Group1;1359;"Maloii";1527715154012;00:19:14;13;02:01:564;
[2018-05-31 00:19:23] "Practica1";Group1;1375;"Юджин";1527715163772;00:19:23;11;00:21:436;
[2018-05-31 00:19:33] "Practica1";Group1;1359;"Maloii";1527715173097;00:19:33;14;00:19:085;
[2018-05-31 00:19:47] "Practica1";Group1;1375;"Юджин";1527715187201;00:19:47;12;00:23:429;
[2018-05-31 00:21:11] "Practica1";Group1;1359;"Maloii";1527715271601;00:21:11;15;01:38:504;
[2018-05-31 00:21:43] "Practica1";Group1;1359;"Maloii";1527715303904;00:21:43;16;00:32:303;
[2018-05-31 00:24:22] "Practica1";Group1;1375;"Юджин";1527715462200;00:24:22;13;04:34:999;
